Date,"  Average Equal Weighted Returns -- Monthly, Cnsmr",Number of firms,Average Firm size,ChangeinNumberofFirms,ChangeinAverageFirmSize
192607,1.68,168,38.17,,
192608,2.73,168,40.14,0,0.051611213
192609,-0.89,168,41.09,0,0.023667165
192610,-4.25,168,41.79,0,0.017035775
192611,3.46,168,40.06,0,-0.041397464
192612,1.96,167,41.37,-0.005952381,0.032700949
192701,-1.85,167,42.67,0,0.031423737
192702,4.43,165,42.54,-0.011976048,-0.003046637
192703,-2.18,165,44.54,0,0.047014575
192704,1.13,165,45.05,0,0.011450382
192705,5.24,165,46.51,0,0.032408435
192706,-2.45,165,49.06,0,0.054826919
192707,6.3,187,45.58,0.133333333,-0.070933551
192708,1.75,187,49.44,0,0.084686266
192709,2.27,187,51.81,0,0.047936893
192710,-2.65,187,54.66,0,0.055008686
192711,8.65,186,52.05,-0.005347594,-0.047749726
192712,3.81,186,55.61,0,0.068395773
192801,2.72,185,57.57,-0.005376344,0.035245459
192802,-2.16,185,56.79,0,-0.013548723
192803,7.81,185,55.65,0,-0.020073957
192804,4.34,185,63.14,0,0.134591195
192805,4.76,185,63.3,0,0.002534051
192806,-7.78,184,65.48,-0.005405405,0.034439179
192807,0.95,201,60.92,0.092391304,-0.069639585
192808,6.78,200,62.45,-0.004975124,0.025114905
192809,4.1,200,67.81,0,0.085828663
192810,2.9,200,70.11,0,0.033918301
192811,9.73,200,71.19,0,0.015404365
192812,-0.14,199,76.51,-0.005,0.074729597
192901,1.31,197,76.1,-0.010050251,-0.005358777
192902,-1.11,197,76.5,0,0.005256242
192903,-6.06,197,74.98,0,-0.019869281
192904,1.07,197,72.07,0,-0.038810349
192905,-9.52,196,72.99,-0.005076142,0.012765367
192906,5.8,195,65.71,-0.005102041,-0.09973969
192907,0.41,233,66.92,0.194871795,0.018414244
192908,0.56,233,67.03,0,0.001643754
192909,-4.8,233,70.06,0,0.04520364
192910,-21.13,232,65.99,-0.004291845,-0.058093063
192911,-13.47,232,52.36,0,-0.206546446
192912,-4.67,231,45.81,-0.004310345,-0.125095493
193001,10.92,231,45.65,0,-0.003492687
193002,2.66,229,48.33,-0.008658009,0.058707558
193003,8.13,229,48.27,0,-0.001241465
193004,-4.4,228,50.12,-0.004366812,0.038326082
193005,-3.54,228,49.12,0,-0.019952115
193006,-18.44,226,50.09,-0.00877193,0.019747557
193007,3.26,240,43.71,0.061946903,-0.127370733
193008,-1.36,240,45.97,0,0.051704415
193009,-13.65,240,46.37,0,0.008701327
193010,-8.61,240,40.82,0,-0.119689454
193011,0.29,239,37.81,-0.004166667,-0.073738364
193012,-12.94,239,38.31,0,0.013224015
193101,13.57,239,35.86,0,-0.063951971
193102,16.52,239,38.08,0,0.061907418
193103,-1.75,238,42.28,-0.0041841,0.110294118
193104,-14.31,238,40.97,0,-0.030983917
193105,-11.2,237,38.59,-0.004201681,-0.058091286
193106,13.64,237,34.23,0,-0.112982638
193107,-3.56,242,37.92,0.021097046,0.107800175
193108,-1.89,242,36.75,0,-0.03085443
193109,-29.35,242,36.38,0,-0.010068027
193110,10.21,241,25.9,-0.004132231,-0.288070368
193111,-6.57,241,28.4,0,0.096525097
193112,-16.21,240,26.64,-0.004149378,-0.061971831
193201,6.73,240,23.6,0,-0.114114114
193202,2.28,240,23.43,0,-0.00720339
193203,-11.89,238,24.36,-0.008333333,0.039692702
193204,-16.06,237,21.75,-0.004201681,-0.107142857
193205,-19.37,236,18.16,-0.004219409,-0.165057471
193206,5.36,232,14.16,-0.016949153,-0.220264317
193207,32.95,233,13.76,0.004310345,-0.028248588
193208,65,231,17.77,-0.008583691,0.291424419
193209,-2.97,230,22.88,-0.004329004,0.287563309
193210,-16.03,230,23.15,0,0.011800699
193211,-7.22,229,19.82,-0.004347826,-0.143844492
193212,-4.16,227,18.66,-0.008733624,-0.058526741
193301,2.49,227,19.28,0,0.033226152
193302,-14.67,226,19.74,-0.004405286,0.023858921
193303,13.09,225,16.88,-0.004424779,-0.144883485
193304,54.05,225,18.39,0,0.089454976
193305,59.64,225,26.37,0,0.433931485
193306,25.49,221,31.14,-0.017777778,0.180887372
193307,-11.08,222,35.25,0.004524887,0.131984586
193308,11.28,222,32.33,0,-0.082836879
193309,-14.97,222,36.06,0,0.115372719
193310,-10.2,222,32.36,0,-0.102606767
193311,6.54,222,29.37,0,-0.092398022
193312,2.28,222,32.71,0,0.113721485
193401,32.68,222,33.22,0,0.015591562
193402,2.94,222,37.3,0,0.12281758
193403,1.91,222,36.25,0,-0.028150134
193404,-0.26,222,36.44,0,0.005241379
193405,-10.99,222,36.04,0,-0.010976948
193406,-0.4,222,33.43,0,-0.072419534
193407,-16.5,226,33.45,0.018018018,0.000598265
193408,8.32,226,30.72,0,-0.08161435
193409,0.57,226,32.27,0,0.050455729
193410,0.45,226,32.42,0,0.00464828
193411,14.29,226,32.42,0,0
193412,1.67,226,35.81,0,0.104565083
193501,-3.57,226,35.65,0,-0.004468026
193502,-4.32,224,34.36,-0.008849558,-0.036185133
193503,-8.23,224,34.15,0,-0.006111758
193504,7.62,223,32.47,-0.004464286,-0.049194729
193505,1.3,223,34.33,0,0.057283646
193506,3.98,223,34.8,0,0.01369065
193507,9.98,224,36.99,0.004484305,0.062931034
193508,7.44,224,39.95,0,0.080021627
193509,4.27,223,40.84,-0.004464286,0.022277847
193510,8.62,223,42.26,0,0.034769833
193511,10.38,223,44.99,0,0.064600095
193512,2.35,223,45.68,0,0.015336741
193601,11.13,223,46.69,0,0.022110333
193602,3.36,223,47.66,0,0.020775327
193603,2.2,221,48.68,-0.00896861,0.021401595
193604,-11.91,221,49.94,0,0.02588332
193605,4.59,220,46.7,-0.004524887,-0.064877853
193606,1.28,220,48.63,0,0.041327623
193607,7.43,238,48.96,0.081818182,0.006785935
193608,2.07,238,51,0,0.041666667
193609,3.9,238,50.96,0,-0.000784314
193610,6.48,238,51.52,0,0.010989011
193611,10.35,238,54.35,0,0.054930124
193612,-2.35,238,55.68,0,0.024471021
193701,6.3,237,52.54,-0.004201681,-0.056393678
193702,2.26,237,54.29,0,0.033307956
193703,-1.99,237,54.53,0,0.004420704
193704,-9.88,237,52.99,0,-0.028241335
193705,-3.1,237,49.14,0,-0.072655218
193706,-6.93,237,47.87,0,-0.025844526
193707,9.4,250,43.73,0.054852321,-0.086484228
193708,-4.75,250,47.55,0,0.087354219
193709,-18.43,250,45.81,0,-0.03659306
193710,-9.66,250,40.36,0,-0.118969657
193711,-12.75,250,36.69,0,-0.090931615
193712,-11.45,250,32.19,0,-0.122649223
193801,7.19,250,29.55,0,-0.082013048
193802,4.34,250,31.16,0,0.054483926
193803,-26.61,250,32.47,0,0.042041078
193804,18.58,250,25.72,0,-0.207884201
193805,-6.71,249,29.29,-0.004,0.138802488
193806,29.09,249,28.32,0,-0.033117105
193807,14.63,253,34,0.016064257,0.200564972
193808,-5.31,251,37.92,-0.007905138,0.115294118
193809,-1.74,251,37.49,0,-0.011339662
193810,13.2,251,37.56,0,0.001867165
193811,-3.33,251,39.84,0,0.060702875
193812,-0.05,250,39.02,-0.003984064,-0.020582329
193901,-5.4,250,39.66,0,0.016401845
193902,4.94,250,37.9,0,-0.044377206
193903,-14.78,250,39.42,0,0.040105541
193904,1.03,250,35.21,0,-0.106798579
193905,8.94,249,35.42,-0.004,0.005964215
193906,-6.29,249,37.83,0,0.068040655
193907,12.14,250,36.14,0.004016064,-0.04467354
193908,-10.32,250,39.69,0,0.098229109
193909,30.14,250,36.52,0,-0.079868985
193910,1.72,250,39.92,0,0.093099671
193911,-5.66,250,40.76,0,0.021042084
193912,1.58,250,39.59,0,-0.028704612
194001,-0.15,250,40.68,0,0.027532205
194002,4.3,250,40.32,0,-0.008849558
194003,2.8,250,40.68,0,0.008928571
194004,1.19,250,41.64,0,0.02359882
194005,-27.21,248,42.12,-0.008,0.011527378
194006,6.44,248,31.97,0,-0.240978158
194007,3.25,254,33.54,0.024193548,0.049108539
194008,2.58,253,34.55,-0.003937008,0.030113298
194009,3.68,253,35.46,0,0.02633864
194010,3.07,253,36.37,0,0.025662719
194011,1.64,253,36.54,0,0.004674182
194012,-2.22,251,35.94,-0.007905138,-0.016420361
194101,-0.42,251,35.45,0,-0.013633834
194102,-2.49,251,33.92,0,-0.043159379
194103,1.48,251,33.15,0,-0.022700472
194104,-6.37,251,33.02,0,-0.003921569
194105,0.53,251,30.81,0,-0.066929134
194106,7.28,251,30.49,0,-0.010386238
194107,13.42,253,31.86,0.007968127,0.044932765
194108,0.64,253,33.34,0,0.046453233
194109,-0.74,253,33.54,0,0.0059988
194110,-6.2,253,34.12,0,0.017292785
194111,-3.58,253,31.7,0,-0.070926143
194112,-9.11,253,30.1,0,-0.050473186
194201,10.24,253,27.55,0,-0.084717608
194202,-0.94,253,28.33,0,0.02831216
194203,-4.5,252,27.75,-0.003952569,-0.020472997
194204,-4.87,252,26.21,0,-0.055495495
194205,4.12,252,24.92,0,-0.049217856
194206,2.63,252,27.16,0,0.08988764
194207,4.79,253,27.82,0.003968254,0.024300442
194208,2.12,253,28.56,0,0.026599569
194209,3.06,253,28.76,0,0.007002801
194210,8,252,29.01,-0.003952569,0.008692629
194211,0.53,252,30.11,0,0.037917959
194212,2.56,252,30.59,0,0.015941548
194301,15.65,252,32.05,0,0.047728016
194302,9.79,252,34.33,0,0.071138846
194303,12.17,252,35.75,0,0.041363239
194304,5.08,252,37.6,0,0.051748252
194305,8.3,252,37.91,0,0.008244681
194306,3.69,252,40.26,0,0.061988921
194307,-4.97,254,41.47,0.007936508,0.030054645
194308,1.2,254,39.4,0,-0.049915602
194309,4.1,254,40.13,0,0.018527919
194310,0.18,254,40.8,0,0.016695739
194311,-7.45,254,40.3,0,-0.012254902
194312,10.26,254,38.02,0,-0.056575682
194401,4.3,254,40.47,0,0.064439769
194402,1.79,254,41.3,0,0.020509019
194403,4.87,254,41.51,0,0.005084746
194404,-2.52,254,42.76,0,0.030113226
194405,8.1,254,42.05,0,-0.016604303
194406,10.88,254,44.35,0,0.05469679
194407,-0.73,257,47.12,0.011811024,0.062457723
194408,4.46,257,46.16,0,-0.020373514
194409,0.24,256,47.52,-0.003891051,0.029462738
194410,0.56,255,47.82,-0.00390625,0.006313131
194411,2.57,255,47.34,0,-0.010037641
194412,4.43,255,47.87,0,0.011195606
194501,4.69,254,49.18,-0.003921569,0.027365782
194502,7.24,254,49.87,0,0.014030094
194503,-4.83,254,52.24,0,0.047523561
194504,8.85,254,50.18,0,-0.039433384
194505,4.44,254,54.35,0,0.083100837
194506,2.44,254,55.54,0,0.021895124
194507,-2.26,266,53.7,0.047244094,-0.033129276
194508,7.85,266,53.11,0,-0.010986965
194509,5.84,266,57.29,0,0.078704575
194510,7.66,265,60.2,-0.003759398,0.050794205
194511,10.27,265,62.77,0,0.04269103
194512,3.4,265,64.99,0,0.035367214
194601,8.78,265,66.29,0,0.020003077
194602,-6.35,264,71.02,-0.003773585,0.071353145
194603,6.88,264,66.5,0,-0.063644044
194604,6.84,264,70.45,0,0.059398496
194605,5.5,264,73.15,0,0.038325053
194606,-5.73,263,75.57,-0.003787879,0.033082707
194607,-3.21,274,69.66,0.041825095,-0.078205637
194608,-7.75,273,68.03,-0.003649635,-0.023399368
194609,-13.27,273,63.3,0,-0.069528149
194610,-1.01,272,56.49,-0.003663004,-0.107582938
194611,-1.76,272,55.62,0,-0.015400956
194612,4.17,272,53.88,0,-0.031283711
194701,3.09,272,55.93,0,0.038047513
194702,-0.15,272,57.5,0,0.028070803
194703,-3.42,272,57.23,0,-0.004695652
194704,-9.29,272,55.7,0,-0.02673423
194705,-3.65,272,52.04,0,-0.065709156
194706,6.67,272,51.22,0,-0.01575711
194707,6.06,289,52.73,0.0625,0.029480672
194708,-1.67,289,55.13,0,0.045514887
194709,0.34,289,53.75,0,-0.025031743
194710,3.84,289,53.25,0,-0.009302326
194711,-3.16,289,54.32,0,0.020093897
194712,0.17,289,52.6,0,-0.031664212
194801,-2.43,289,52.81,0,0.003992395
194802,-6.51,289,50.76,0,-0.038818406
194803,7.16,289,47.69,0,-0.060480693
194804,3.24,289,50.43,0,0.057454393
194805,9.29,289,51.47,0,0.020622645
194806,-2.2,289,55.57,0,0.079658053
194807,-4.64,300,53.88,0.038062284,-0.030412093
194808,-0.06,300,51.51,0,-0.043986637
194809,-4.17,300,51.61,0,0.001941371
194810,4.09,300,49.77,0,-0.035652005
194811,-9.74,300,52.14,0,0.047619048
194812,-0.74,300,47.32,0,-0.092443422
194901,3.23,300,47.8,0,0.010143702
194902,-4.14,300,48.9,0,0.023012552
194903,5.81,300,47.16,0,-0.035582822
194904,-2.92,300,48.62,0,0.030958439
194905,-2.78,300,47.33,0,-0.026532291
194906,0.76,300,46.44,0,-0.018804141
194907,6.07,304,46.65,0.013333333,0.004521964
194908,2.41,304,49.44,0,0.059807074
194909,4.1,304,50.35,0,0.018406149
194910,3.62,304,51.45,0,0.021847071
194911,1.16,304,52.83,0,0.026822157
194912,7.09,304,53.23,0,0.007571456
195001,4.19,302,56.32,-0.006578947,0.058049972
195002,0.54,302,56.88,0,0.009943182
195003,-0.37,302,57.43,0,0.00966948
195004,3.89,302,57.36,0,-0.001218875
195005,3.15,302,59.07,0,0.029811715
195006,-6.85,302,60.81,0,0.029456577
195007,4.09,303,57.47,0.003311258,-0.054925177
195008,5.01,303,56.77,0,-0.012180268
195009,5.48,303,59.14,0,0.041747402
195010,-0.92,303,63.04,0,0.065945215
195011,0.58,303,63.08,0,0.000634518
195012,6.91,302,61.56,-0.00330033,-0.024096386
195101,7.56,302,62.65,0,0.017706303
195102,1.47,302,66.17,0,0.056185156
195103,-3.72,302,66.95,0,0.011787819
195104,1.91,302,65.87,0,-0.016131441
195105,-2.01,302,66.83,0,0.014574161
195106,-4.87,302,64.35,0,-0.037109083
195107,3,307,61.44,0.016556291,-0.045221445
195108,4.16,306,63.32,-0.003257329,0.030598958
195109,1.36,306,65.45,0,0.033638661
195110,-2.69,306,66.28,0,0.012681436
195111,0.26,306,64.34,0,-0.029269765
195112,0.47,306,64.22,0,-0.001865092
195201,0.4,306,64.93,0,0.011055746
195202,-1.64,306,64.57,0,-0.005544432
195203,2.04,306,62.86,0,-0.026482887
195204,-3.45,305,65.5,-0.003267974,0.041998091
195205,2.26,305,63.57,0,-0.029465649
195206,2.26,305,64.81,0,0.019506056
195207,0.64,309,66.02,0.013114754,0.018669958
195208,0.63,309,67.05,0,0.015601333
195209,-1.49,309,67.1,0,0.000745712
195210,-1.35,309,65.88,0,-0.018181818
195211,4.74,309,65.61,0,-0.004098361
195212,1.69,309,68.65,0,0.0463344
195301,3,309,70.83,0,0.03175528
195302,1.94,308,71.48,-0.003236246,0.009176902
195303,-1.07,306,71.2,-0.006493506,-0.00391718
195304,-1.58,306,69.25,0,-0.02738764
195305,0.49,306,68.41,0,-0.012129964
195306,-3.52,306,68.1,0,-0.004531501
195307,1.52,307,66.91,0.003267974,-0.017474302
195308,-4.26,306,68.17,-0.003257329,0.018831266
195309,-1.72,304,65,-0.006535948,-0.046501394
195310,2.3,303,64.7,-0.003289474,-0.004615385
195311,0.86,303,66.73,0,0.03137558
195312,-2.16,303,66.77,0,0.000599431
195401,6.66,303,66.29,0,-0.007188857
195402,0.46,303,69.09,0,0.042238648
195403,1.21,303,68.83,0,-0.003763207
195404,-0.65,303,69.94,0,0.016126689
195405,4.05,302,71.63,-0.00330033,0.024163569
195406,1.3,302,73.36,0,0.024151892
195407,7.6,301,74.98,-0.003311258,0.022082879
195408,-0.86,301,80.25,0,0.070285409
195409,3.83,301,77.71,0,-0.03165109
195410,-1.22,300,84.05,-0.003322259,0.081585382
195411,6.48,300,82.55,0,-0.01784652
195412,7.41,300,86.46,0,0.047365233
195501,1.73,300,90.45,0,0.046148508
195502,3.04,298,91.56,-0.006666667,0.012271973
195503,-0.62,298,91.23,0,-0.003604194
195504,2.64,298,90.42,0,-0.008878658
195505,0.29,298,94.09,0,0.040588365
195506,2.52,298,93.59,0,-0.005314061
195507,2.17,302,102.91,0.013422819,0.099583289
195508,-0.66,302,112.48,0,0.092993878
195509,-0.01,301,109.66,-0.003311258,-0.025071124
195510,-1.36,300,114.6,-0.003322259,0.045048331
195511,2.75,300,110.88,0,-0.032460733
195512,1.58,298,117.76,-0.006666667,0.062049062
195601,-1.18,296,115.89,-0.006711409,-0.015879755
195602,1.83,295,110.79,-0.003378378,-0.044007248
195603,2.44,295,113.92,0,0.028251647
195604,-0.48,295,116.55,0,0.023086376
195605,-3.61,293,114.04,-0.006779661,-0.021535822
195606,1.15,293,108.45,0,-0.049017888
195607,1.82,294,124.5,0.003412969,0.147994467
195608,-0.73,293,129.58,-0.003401361,0.040803213
195609,-2.81,293,127.69,0,-0.014585584
195610,1.15,293,124.47,0,-0.025217323
195611,-0.03,292,124.35,-0.003412969,-0.000964088
195612,-0.01,292,120.23,0,-0.033132288
195701,2.35,292,120.68,0,0.003742826
195702,-1.65,292,117.76,0,-0.024196221
195703,1.75,292,114.99,0,-0.023522418
195704,2.12,291,116.43,-0.003424658,0.012522828
195705,1.34,289,121.87,-0.006872852,0.046723353
195706,-0.04,288,122.78,-0.003460208,0.007466973
195707,0.6,293,120.82,0.017361111,-0.015963512
195708,-3.18,292,124.21,-0.003412969,0.028058268
195709,-3.21,292,120.04,0,-0.033572176
195710,-5.75,290,115.64,-0.006849315,-0.036654449
195711,1.4,290,111.31,0,-0.037443791
195712,-3.51,290,108.47,0,-0.025514329
195801,10.7,290,103.57,0,-0.045173781
195802,0.02,289,110.62,-0.003448276,0.068069904
195803,3.58,287,110.63,-0.006920415,9.03996E-05
195804,3.93,287,114.19,0,0.032179337
195805,3.66,286,118.74,-0.003484321,0.039845871
195806,3.02,285,122.62,-0.003496503,0.032676436
195807,3.92,281,128.61,-0.014035088,0.048850106
195808,5.04,281,135.07,0,0.050229376
195809,5.85,281,136.86,0,0.013252388
195810,2.85,281,146.02,0,0.066929709
195811,4.54,281,148.66,0,0.018079715
195812,3.57,280,153.31,-0.003558719,0.03127943
195901,5.26,280,158.41,0,0.033265932
195902,3.66,278,162.24,-0.007142857,0.024177767
195903,1.43,277,163.28,-0.003597122,0.006410256
195904,2.29,277,161.94,0,-0.008206761
195905,0.63,277,170.85,0,0.055020378
195906,0.71,277,176.36,0,0.032250512
195907,3.98,284,179.88,0.025270758,0.019959174
195908,-0.2,284,189.13,0,0.051423171
195909,-2.98,284,190.92,0,0.00946439
195910,1.97,283,184.52,-0.003521127,-0.033521894
195911,0.91,283,185.88,0,0.007370475
195912,2.6,283,186.37,0,0.002636109
196001,-3.06,283,192.85,0,0.034769544
196002,1.05,283,178.03,0,-0.076847291
196003,-3.01,282,179.18,-0.003533569,0.006459585
196004,-0.89,281,174.66,-0.003546099,-0.02522603
196005,1.55,281,173.74,0,-0.005267377
196006,3.31,281,177.5,0,0.021641533
196007,-1.26,290,180.75,0.03202847,0.018309859
196008,3.85,289,178.66,-0.003448276,-0.011562932
196009,-4.94,289,184.11,0,0.03050487
196010,-1.38,286,175.64,-0.010380623,-0.046005106
196011,4.95,285,176.35,-0.003496503,0.004042359
196012,2.86,284,184.16,-0.003508772,0.044286929
196101,7.93,282,189.13,-0.007042254,0.026987402
196102,6.57,279,201.92,-0.010638298,0.067625443
196103,6.42,279,211.82,0,0.049029319
196104,0.65,278,222.24,-0.003584229,0.049192711
196105,4.05,278,220.23,0,-0.009044276
196106,-3.18,277,226.55,-0.003597122,0.028697271
196107,0.95,290,220.61,0.046931408,-0.026219378
196108,2.9,289,230.22,-0.003448276,0.043561035
196109,-1.55,288,237.96,-0.003460208,0.033620016
196110,3.35,287,242.7,-0.003472222,0.019919314
196111,6.41,287,251.4,0,0.035846724
196112,-0.66,287,266.91,0,0.061694511
196201,-1.57,287,265.1,0,-0.006781312
196202,1.02,286,252.42,-0.003484321,-0.047831007
196203,-0.45,286,251.12,0,-0.005150147
196204,-7.08,286,249.28,0,-0.007327174
196205,-9.48,285,236.46,-0.003496503,-0.051428113
196206,-8.31,285,215.39,0,-0.08910598
196207,6.19,295,195.31,0.035087719,-0.093226241
196208,2.73,295,207.25,0,0.061133583
196209,-6.43,295,212.09,0,0.023353438
196210,-3.16,294,201.76,-0.003389831,-0.048705738
196211,11.74,293,200.94,-0.003401361,-0.004064235
196212,-0.64,293,218.42,0,0.086991142
196301,8.18,293,221.8,0,0.015474773
196302,-1.74,293,233.87,0,0.054418395
